# 金融长文本自定义词典 - jieba 用户词典格式
# 每行格式：词条 词频 词性
# 词频越高越倾向被保留为完整词条，词性可省略

# === 公司名/实体 ===
比亚迪 100 n
广晟控股 100 n
国泰君安 100 n
中信证券 100 n
华泰证券 100 n
招商证券 100 n
中金公司 100 n
海通证券 100 n

# === 债券相关 ===
募集说明书 100 n
募集资金 100 n
公司债券 100 n
科技创新公司债券 100 n
中期票据 100 n
短期融资券 100 n
超短期融资券 100 n
定向工具 100 n
资产支持证券 100 n
信用评级 100 n
债项评级 100 n
主体评级 100 n
债项信用评级 100 n
主体信用评级 100 n

# === 财务指标 ===
营业收入 100 n
营业成本 100 n
营业利润 100 n
利润总额 100 n
净利润 100 n
扣非净利润 100 n
毛利润 100 n
毛利率 100 n
净利率 100 n
总资产 100 n
总负债 100 n
净资产 100 n
资产负债率 100 n
流动比率 100 n
速动比率 100 n
经营活动产生的现金流量净额 100 n
投资活动产生的现金流量净额 100 n
筹资活动产生的现金流量净额 100 n
每股收益 100 n
基本每股收益 100 n
稀释每股收益 100 n
加权平均净资产收益率 100 n
研发投入 100 n
研发费用 100 n
研发投入占营业收入的比例 100 n
归属于上市公司股东的净利润 100 n
归属于上市公司股东的扣除非经常性损益的净利润 100 n
综合收益总额 100 n
基本每股收益 100 n
加权平均净资产收益率 100 n

# === 保险条款 ===
犹豫期 100 n
等待期 100 n
保险期间 100 n
保险责任 100 n
责任免除 100 n
保险金额 100 n
保险费 100 n
身故保险金 100 n
全残保险金 100 n
生存保险金 100 n
满期保险金 100 n
年金 100 n
养老年金 100 n
保单贷款 100 n
自动垫交 100 n
减额交清 100 n
现金价值 100 n
保单年度 100 n
保险事故 100 n
如实告知 100 n
宽限期 100 n
中止 100 n
复效 100 n
受益人 100 n
投保人 100 n
被保险人 100 n
保险人 100 n
不可抗辩条款 100 n

# === 监管法规 ===
上市公司 100 n
证券法 100 n
公司法 100 n
证监会 100 n
交易所 100 n
股东会 100 n
股东大会 100 n
董事会 100 n
监事会 100 n
独立董事 100 n
信息披露 100 n
关联交易 100 n
对外担保 100 n
募集资金 100 n
审计委员会 100 n
薪酬委员会 100 n
提名委员会 100 n
战略委员会 100 n
累计投票制 100 n
表决权 100 n
一致行动人 100 n
实际控制人 100 n
控股股东 100 n
重大资产重组 100 n
要约收购 100 n

# === 金融合同 ===
债券持有人 100 n
债券受托管理人 100 n
受托管理协议 100 n
债券持有人会议 100 n
债券持有人会议规则 100 n
回售 100 n
赎回 100 n
票面利率 100 n
簿记建档 100 n
承销团 100 n
主承销商 100 n
联席主承销商 100 n
受托管理人 100 n
评级机构 100 n
会计师事务所 100 n
律师事务所 100 n

# === 数字与条款模式 ===
第一百条 100 n
第二百条 100 n
第三百条 100 n
第四百条 100 n
第五百条 100 n
第六百条 100 n
第七百条 100 n
第八百条 100 n
第九百条 100 n
第一千条 100 n

# 时间相关
本年度 100 n
上年度 100 n
报告期 100 n
报告期末 100 n
同比 100 n
环比 100 n
期末 100 n
期初 100 n
截至 100 n
